Date,Open,High,Low,Close,Adj Close,Volume
2016-06-03,null,null,null,null,null,null
2016-06-06,null,null,null,null,null,null
2016-06-07,null,null,null,null,null,null
2016-06-08,null,null,null,null,null,null
2016-06-09,null,null,null,null,null,null
2016-06-10,null,null,null,null,null,null
2016-06-13,null,null,null,null,null,null
2016-06-14,null,null,null,null,null,null
2016-06-15,null,null,null,null,null,null
2016-06-16,null,null,null,null,null,null
2016-06-17,null,null,null,null,null,null
2016-06-20,null,null,null,null,null,null
2016-06-21,null,null,null,null,null,null
2016-06-22,null,null,null,null,null,null
2016-06-23,null,null,null,null,null,null
2016-06-24,null,null,null,null,null,null
2016-06-27,null,null,null,null,null,null
2016-06-28,null,null,null,null,null,null
2016-06-29,null,null,null,null,null,null
2016-06-30,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-07-11,null,null,null,null,null,null
2016-07-12,null,null,null,null,null,null
2016-07-13,null,null,null,null,null,null
2016-07-14,null,null,null,null,null,null
2016-07-15,null,null,null,null,null,null
2016-07-18,null,null,null,null,null,null
2016-07-19,null,null,null,null,null,null
2016-07-20,null,null,null,null,null,null
2016-07-21,null,null,null,null,null,null
2016-07-22,null,null,null,null,null,null
2016-07-25,null,null,null,null,null,null
2016-07-26,null,null,null,null,null,null
2016-07-27,null,null,null,null,null,null
2016-07-28,null,null,null,null,null,null
2016-07-29,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-08-02,null,null,null,null,null,null
2016-08-03,null,null,null,null,null,null
2016-08-04,null,null,null,null,null,null
2016-08-05,null,null,null,null,null,null
2016-08-08,null,null,null,null,null,null
2016-08-09,null,null,null,null,null,null
2016-08-10,null,null,null,null,null,null
2016-08-11,null,null,null,null,null,null
2016-08-12,null,null,null,null,null,null
2016-08-15,null,null,null,null,null,null
2016-08-16,null,null,null,null,null,null
2016-08-18,null,null,null,null,null,null
2016-08-19,null,null,null,null,null,null
2016-08-22,null,null,null,null,null,null
2016-08-23,null,null,null,null,null,null
2016-08-24,null,null,null,null,null,null
2016-08-25,null,null,null,null,null,null
2016-08-26,null,null,null,null,null,null
2016-08-29,null,null,null,null,null,null
2016-08-30,null,null,null,null,null,null
2016-08-31,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-09-02,null,null,null,null,null,null
2016-09-05,null,null,null,null,null,null
2016-09-06,null,null,null,null,null,null
2016-09-07,null,null,null,null,null,null
2016-09-08,null,null,null,null,null,null
2016-09-09,null,null,null,null,null,null
2016-09-13,null,null,null,null,null,null
2016-09-14,null,null,null,null,null,null
2016-09-15,null,null,null,null,null,null
2016-09-16,null,null,null,null,null,null
2016-09-19,null,null,null,null,null,null
2016-09-20,null,null,null,null,null,null
2016-09-21,null,null,null,null,null,null
2016-09-22,null,null,null,null,null,null
2016-09-23,null,null,null,null,null,null
2016-09-26,null,null,null,null,null,null
2016-09-27,null,null,null,null,null,null
2016-09-28,null,null,null,null,null,null
2016-09-29,null,null,null,null,null,null
2016-09-30,null,null,null,null,null,null
2016-10-03,null,null,null,null,null,null
2016-10-04,null,null,null,null,null,null
2016-10-05,null,null,null,null,null,null
2016-10-06,null,null,null,null,null,null
2016-10-07,null,null,null,null,null,null
2016-10-10,null,null,null,null,null,null
2016-10-11,null,null,null,null,null,null
2016-10-12,null,null,null,null,null,null
2016-10-13,null,null,null,null,null,null
2016-10-14,null,null,null,null,null,null
2016-10-17,null,null,null,null,null,null
2016-10-18,null,null,null,null,null,null
2016-10-19,null,null,null,null,null,null
2016-10-20,null,null,null,null,null,null
2016-10-21,null,null,null,null,null,null
2016-10-24,null,null,null,null,null,null
2016-10-25,null,null,null,null,null,null
2016-10-26,null,null,null,null,null,null
2016-10-27,null,null,null,null,null,null
2016-10-28,null,null,null,null,null,null
2016-10-31,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-11-02,null,null,null,null,null,null
2016-11-03,null,null,null,null,null,null
2016-11-04,null,null,null,null,null,null
2016-11-07,null,null,null,null,null,null
2016-11-08,null,null,null,null,null,null
2016-11-09,null,null,null,null,null,null
2016-11-10,null,null,null,null,null,null
2016-11-11,null,null,null,null,null,null
2016-11-14,null,null,null,null,null,null
2016-11-15,null,null,null,null,null,null
2016-11-16,null,null,null,null,null,null
2016-11-17,null,null,null,null,null,null
2016-11-18,null,null,null,null,null,null
2016-11-21,null,null,null,null,null,null
2016-11-22,null,null,null,null,null,null
2016-11-23,null,null,null,null,null,null
2016-11-24,null,null,null,null,null,null
2016-11-25,null,null,null,null,null,null
2016-11-28,null,null,null,null,null,null
2016-11-29,null,null,null,null,null,null
2016-11-30,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2016-12-02,null,null,null,null,null,null
2016-12-05,null,null,null,null,null,null
2016-12-06,null,null,null,null,null,null
2016-12-07,null,null,null,null,null,null
2016-12-08,null,null,null,null,null,null
2016-12-09,null,null,null,null,null,null
2016-12-13,null,null,null,null,null,null
2016-12-14,null,null,null,null,null,null
2016-12-15,null,null,null,null,null,null
2016-12-16,null,null,null,null,null,null
2016-12-19,null,null,null,null,null,null
2016-12-20,null,null,null,null,null,null
2016-12-21,null,null,null,null,null,null
2016-12-22,null,null,null,null,null,null
2016-12-23,null,null,null,null,null,null
2016-12-27,null,null,null,null,null,null
2016-12-28,null,null,null,null,null,null
2016-12-29,null,null,null,null,null,null
2016-12-30,null,null,null,null,null,null
2017-01-02,null,null,null,null,null,null
2017-01-03,null,null,null,null,null,null
2017-01-04,null,null,null,null,null,null
2017-01-05,null,null,null,null,null,null
2017-01-06,null,null,null,null,null,null
2017-01-09,null,null,null,null,null,null
2017-01-10,null,null,null,null,null,null
2017-01-11,null,null,null,null,null,null
2017-01-12,null,null,null,null,null,null
2017-01-13,null,null,null,null,null,null
2017-01-16,null,null,null,null,null,null
2017-01-17,null,null,null,null,null,null
2017-01-18,null,null,null,null,null,null
2017-01-19,null,null,null,null,null,null
2017-01-20,null,null,null,null,null,null
2017-01-23,null,null,null,null,null,null
2017-01-24,null,null,null,null,null,null
2017-01-25,null,null,null,null,null,null
2017-01-26,null,null,null,null,null,null
2017-01-27,null,null,null,null,null,null
2017-01-30,null,null,null,null,null,null
2017-01-31,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-02-02,null,null,null,null,null,null
2017-02-03,null,null,null,null,null,null
2017-02-06,null,null,null,null,null,null
2017-02-07,null,null,null,null,null,null
2017-02-08,null,null,null,null,null,null
2017-02-09,null,null,null,null,null,null
2017-02-10,null,null,null,null,null,null
2017-02-13,null,null,null,null,null,null
2017-02-14,null,null,null,null,null,null
2017-02-15,null,null,null,null,null,null
2017-02-16,null,null,null,null,null,null
2017-02-17,null,null,null,null,null,null
2017-02-20,null,null,null,null,null,null
2017-02-21,null,null,null,null,null,null
2017-02-22,null,null,null,null,null,null
2017-02-23,null,null,null,null,null,null
2017-02-24,null,null,null,null,null,null
2017-02-27,null,null,null,null,null,null
2017-02-28,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-03-02,null,null,null,null,null,null
2017-03-03,null,null,null,null,null,null
2017-03-06,null,null,null,null,null,null
2017-03-07,null,null,null,null,null,null
2017-03-08,null,null,null,null,null,null
2017-03-09,null,null,null,null,null,null
2017-03-10,null,null,null,null,null,null
2017-03-13,null,null,null,null,null,null
2017-03-14,null,null,null,null,null,null
2017-03-15,null,null,null,null,null,null
2017-03-16,null,null,null,null,null,null
2017-03-17,null,null,null,null,null,null
2017-03-20,null,null,null,null,null,null
2017-03-21,null,null,null,null,null,null
2017-03-22,null,null,null,null,null,null
2017-03-23,null,null,null,null,null,null
2017-03-24,null,null,null,null,null,null
2017-03-27,null,null,null,null,null,null
2017-03-29,null,null,null,null,null,null
2017-03-30,null,null,null,null,null,null
2017-03-31,null,null,null,null,null,null
2017-04-03,null,null,null,null,null,null
2017-04-04,null,null,null,null,null,null
2017-04-05,null,null,null,null,null,null
2017-04-06,null,null,null,null,null,null
2017-04-07,null,null,null,null,null,null
2017-04-10,null,null,null,null,null,null
2017-04-11,null,null,null,null,null,null
2017-04-12,null,null,null,null,null,null
2017-04-13,null,null,null,null,null,null
2017-04-17,null,null,null,null,null,null
2017-04-18,null,null,null,null,null,null
2017-04-19,null,null,null,null,null,null
2017-04-20,null,null,null,null,null,null
2017-04-21,null,null,null,null,null,null
2017-04-25,null,null,null,null,null,null
2017-04-26,null,null,null,null,null,null
2017-04-27,null,null,null,null,null,null
2017-04-28,null,null,null,null,null,null
2017-05-02,null,null,null,null,null,null
2017-05-03,null,null,null,null,null,null
2017-05-04,null,null,null,null,null,null
2017-05-05,null,null,null,null,null,null
2017-05-08,null,null,null,null,null,null
2017-05-09,null,null,null,null,null,null
2017-05-10,null,null,null,null,null,null
2017-05-12,null,null,null,null,null,null
2017-05-15,null,null,null,null,null,null
2017-05-16,null,null,null,null,null,null
2017-05-17,null,null,null,null,null,null
2017-05-18,null,null,null,null,null,null
2017-05-19,null,null,null,null,null,null
2017-05-22,null,null,null,null,null,null
2017-05-23,null,null,null,null,null,null
2017-05-24,null,null,null,null,null,null
2017-05-26,null,null,null,null,null,null
2017-05-29,null,null,null,null,null,null
2017-05-30,null,null,null,null,null,null
2017-05-31,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-06-02,null,null,null,null,null,null
2017-06-05,null,null,null,null,null,null
2017-06-06,null,null,null,null,null,null
2017-06-07,null,null,null,null,null,null
2017-06-08,null,null,null,null,null,null
2017-06-09,null,null,null,null,null,null
2017-06-12,null,null,null,null,null,null
2017-06-13,null,null,null,null,null,null
2017-06-14,null,null,null,null,null,null
2017-06-15,null,null,null,null,null,null
2017-06-16,null,null,null,null,null,null
2017-06-19,null,null,null,null,null,null
2017-06-20,null,null,null,null,null,null
2017-06-21,null,null,null,null,null,null
2017-06-22,null,null,null,null,null,null
2017-06-23,null,null,null,null,null,null
2017-06-26,null,null,null,null,null,null
2017-06-27,null,null,null,null,null,null
2017-06-28,null,null,null,null,null,null
2017-06-29,null,null,null,null,null,null
2017-06-30,null,null,null,null,null,null
2017-07-03,null,null,null,null,null,null
2017-07-04,null,null,null,null,null,null
2017-07-05,null,null,null,null,null,null
2017-07-06,null,null,null,null,null,null
2017-07-07,null,null,null,null,null,null
2017-07-10,null,null,null,null,null,null
2017-07-11,null,null,null,null,null,null
2017-07-12,null,null,null,null,null,null
2017-07-13,null,null,null,null,null,null
2017-07-14,null,null,null,null,null,null
2017-07-17,null,null,null,null,null,null
2017-07-18,null,null,null,null,null,null
2017-07-19,null,null,null,null,null,null
2017-07-20,null,null,null,null,null,null
2017-07-21,null,null,null,null,null,null
2017-07-24,null,null,null,null,null,null
2017-07-25,null,null,null,null,null,null
2017-07-26,null,null,null,null,null,null
2017-07-27,null,null,null,null,null,null
2017-07-28,null,null,null,null,null,null
2017-07-31,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-08-02,null,null,null,null,null,null
2017-08-03,null,null,null,null,null,null
2017-08-04,null,null,null,null,null,null
2017-08-07,null,null,null,null,null,null
2017-08-08,null,null,null,null,null,null
2017-08-09,null,null,null,null,null,null
2017-08-10,null,null,null,null,null,null
2017-08-11,null,null,null,null,null,null
2017-08-14,null,null,null,null,null,null
2017-08-15,null,null,null,null,null,null
2017-08-16,null,null,null,null,null,null
2017-08-17,null,null,null,null,null,null
2017-08-18,null,null,null,null,null,null
2017-08-21,null,null,null,null,null,null
2017-08-22,null,null,null,null,null,null
2017-08-23,null,null,null,null,null,null
2017-08-24,null,null,null,null,null,null
2017-08-25,null,null,null,null,null,null
2017-08-28,null,null,null,null,null,null
2017-08-29,null,null,null,null,null,null
2017-08-30,null,null,null,null,null,null
2017-08-31,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-09-04,null,null,null,null,null,null
2017-09-05,null,null,null,null,null,null
2017-09-06,null,null,null,null,null,null
2017-09-07,null,null,null,null,null,null
2017-09-08,null,null,null,null,null,null
2017-09-11,null,null,null,null,null,null
2017-09-12,null,null,null,null,null,null
2017-09-13,null,null,null,null,null,null
2017-09-14,null,null,null,null,null,null
2017-09-15,null,null,null,null,null,null
2017-09-18,null,null,null,null,null,null
2017-09-19,null,null,null,null,null,null
2017-09-20,null,null,null,null,null,null
2017-09-21,null,null,null,null,null,null
2017-09-22,null,null,null,null,null,null
2017-09-25,null,null,null,null,null,null
2017-09-26,null,null,null,null,null,null
2017-09-27,null,null,null,null,null,null
2017-09-28,null,null,null,null,null,null
2017-09-29,null,null,null,null,null,null
2017-10-02,null,null,null,null,null,null
2017-10-03,null,null,null,null,null,null
2017-10-04,null,null,null,null,null,null
2017-10-05,null,null,null,null,null,null
2017-10-06,null,null,null,null,null,null
2017-10-09,null,null,null,null,null,null
2017-10-10,null,null,null,null,null,null
2017-10-11,null,null,null,null,null,null
2017-10-12,null,null,null,null,null,null
2017-10-13,null,null,null,null,null,null
2017-10-16,null,null,null,null,null,null
2017-10-17,null,null,null,null,null,null
2017-10-18,null,null,null,null,null,null
2017-10-19,null,null,null,null,null,null
2017-10-20,null,null,null,null,null,null
2017-10-23,null,null,null,null,null,null
2017-10-24,null,null,null,null,null,null
2017-10-25,null,null,null,null,null,null
2017-10-26,null,null,null,null,null,null
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,null,null,null,null,null,null
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,null,null,null,null,null,null
2017-11-17,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-21,null,null,null,null,null,null
2017-11-22,null,null,null,null,null,null
2017-11-23,null,null,null,null,null,null
2017-11-24,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-11-28,null,null,null,null,null,null
2017-11-29,null,null,null,null,null,null
2017-11-30,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-05,null,null,null,null,null,null
2017-12-06,null,null,null,null,null,null
2017-12-07,null,null,null,null,null,null
2017-12-08,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-12,null,null,null,null,null,null
2017-12-13,null,null,null,null,null,null
2017-12-14,null,null,null,null,null,null
2017-12-15,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-19,null,null,null,null,null,null
2017-12-20,null,null,null,null,null,null
2017-12-21,null,null,null,null,null,null
2017-12-22,null,null,null,null,null,null
2017-12-25,null,null,null,null,null,null
2017-12-26,null,null,null,null,null,null
2017-12-27,null,null,null,null,null,null
2017-12-28,null,null,null,null,null,null
2017-12-29,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-01-02,null,null,null,null,null,null
2018-01-03,null,null,null,null,null,null
2018-01-04,null,null,null,null,null,null
2018-01-05,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-09,null,null,null,null,null,null
2018-01-10,null,null,null,null,null,null
2018-01-11,null,null,null,null,null,null
2018-01-12,null,null,null,null,null,null
2018-01-15,null,null,null,null,null,null
2018-01-16,null,null,null,null,null,null
2018-01-17,null,null,null,null,null,null
2018-01-18,null,null,null,null,null,null
2018-01-19,null,null,null,null,null,null
2018-01-22,null,null,null,null,null,null
2018-01-23,null,null,null,null,null,null
2018-01-24,null,null,null,null,null,null
2018-01-25,null,null,null,null,null,null
2018-01-26,null,null,null,null,null,null
2018-01-29,null,null,null,null,null,null
2018-01-30,null,null,null,null,null,null
2018-01-31,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-02-02,null,null,null,null,null,null
2018-02-05,null,null,null,null,null,null
2018-02-06,null,null,null,null,null,null
2018-02-07,null,null,null,null,null,null
2018-02-08,null,null,null,null,null,null
2018-02-09,null,null,null,null,null,null
2018-02-12,null,null,null,null,null,null
2018-02-13,null,null,null,null,null,null
2018-02-14,null,null,null,null,null,null
2018-02-15,null,null,null,null,null,null
2018-02-16,null,null,null,null,null,null
2018-02-19,null,null,null,null,null,null
2018-02-20,null,null,null,null,null,null
2018-02-21,null,null,null,null,null,null
2018-02-22,null,null,null,null,null,null
2018-02-23,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-02-27,null,null,null,null,null,null
2018-02-28,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-03-02,null,null,null,null,null,null
2018-03-05,null,null,null,null,null,null
2018-03-06,null,null,null,null,null,null
2018-03-07,null,null,null,null,null,null
2018-03-08,null,null,null,null,null,null
2018-03-09,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-13,null,null,null,null,null,null
2018-03-14,null,null,null,null,null,null
2018-03-15,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-16,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-19,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-20,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-21,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-22,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-23,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-26,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-27,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-28,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-03-29,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,6000
2018-03-30,7500.000000,7500.000000,7500.000000,7500.000000,7187.954590,0
2018-04-02,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,2500
2018-04-03,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-04,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-05,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-06,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-09,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-10,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-11,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-12,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-13,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-16,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-17,7600.000000,7600.000000,7600.000000,7600.000000,7283.793945,0
2018-04-18,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,1000
2018-04-19,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-20,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-23,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-24,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-25,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-26,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-27,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-04-30,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-05-01,7625.000000,7625.000000,7625.000000,7625.000000,7307.753906,0
2018-05-02,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-03,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-04,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-07,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-08,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-09,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-10,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-11,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-14,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-15,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-16,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-17,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-18,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-21,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-22,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-23,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-24,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-25,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-28,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-29,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-30,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-05-31,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-01,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-04,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-05,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-06,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-07,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-08,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-11,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-12,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-13,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-14,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-15,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-18,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-19,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-20,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-21,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-22,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-25,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-26,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-27,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-28,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-06-29,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-02,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-03,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-04,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-05,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-06,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-09,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-10,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-11,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-12,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-13,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-16,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-17,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-18,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-19,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-20,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-23,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-24,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-25,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-26,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-27,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-30,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-07-31,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-01,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-02,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-03,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-06,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-07,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-08,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-09,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-10,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-13,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-14,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-15,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-16,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-17,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-20,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-21,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-22,7625.000000,7625.000000,7625.000000,7625.000000,7395.039551,0
2018-08-23,7000.000000,7000.000000,5600.000000,5650.000000,5479.603027,31300
2018-08-24,5850.000000,6725.000000,5850.000000,6600.000000,6400.952148,7100
2018-08-27,6600.000000,7000.000000,6600.000000,6900.000000,6691.904785,8300
2018-08-28,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,13500
2018-08-29,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-08-30,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-08-31,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-03,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-04,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-05,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-06,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-07,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-10,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-11,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-12,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-13,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-14,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-17,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-18,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-19,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-20,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-21,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-24,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
2018-09-25,7000.000000,7000.000000,7000.000000,7000.000000,6788.888672,0
